Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-05-4249-01A	0.000406840773862061	0.0350725936854662	0.083894614852127	0.0360358760444952	0	0.089684917952032	0.0136802812380538	0.0308193337036643	0.029680723250194	0	0	0	0.0104170335702201	0.00569244205935121	0.0344702108970263	0.097127360182878	0.328813147216429	0.0078958318056818	0.174710200841636	0	0	0.0215985919268841	0.01	0.268675835537013	0.970312454192431
TCGA-05-4384-01A	0.145822452857028	0	0.163539037904685	0.0585708763313077	0	0.0484537815652058	0.0225836254026946	0.0275397963625878	0	0	0.0155245279216298	0	0.0150911811020347	0.154309209848011	0.0126521766532174	0.207224097006238	0.0584999302464206	0	0.0139870198965682	0	0.0340903034231472	0.0221119834792243	0	0.515179187454132	0.858530499361332
TCGA-05-4389-01A	0.0331066596880994	0	0.0211005186411028	0.213648445941314	0	0.0848501739735789	0.0692844321888833	0.021076071827392	0.0592154175821143	0	0.0230886494512177	0	0.00785820718057732	0.0718051142593826	0.0908028594413997	0.108027523804268	0.0951152606983954	0.00450661684132978	0.0965140484809447	0	0	0	0.01	0.265401535337145	0.973518486233431
TCGA-05-4396-01A	0.0357811237462248	0	0.103276114253034	0.0544566755528892	0	0.252841422478893	0.024942551379128	0.0254850509610863	0.0222502742839722	0	0.0176824982953258	0	0	0.128030855457153	0.0765358273721935	0.161710987324763	0.0100699857786632	0.000670541498546005	0.0771928368959653	0	0	0.00907325472216198	0.01	0.248097604144196	0.980836610097383
TCGA-05-4403-01A	0.109611634104734	0	0.112284961014406	0.0179873577456005	0	0.138662700932143	0	0	0.0380488078148224	0	0	0.0464591803148667	0.0222176484569299	0.163969850487101	0.0442596663636809	0.145318232346243	0.0273356484188404	0	0.125627091170208	0	0	0.00821722083042402	0	0.429404007929993	0.90272742844331
TCGA-05-4405-01A	0.131845533853296	0	0.208002253903335	0.0566225838696272	0	0.0631682046064085	0.0304051648656693	0	0.0384358826831303	0	0.00159114529924292	0	0	0.265249111019439	0	0.128597136273333	0	0.00761626886737262	0.0684667147591459	0	0	0	0	0.481235097548213	0.876374657021736
TCGA-05-4417-01A	0.0918319955694431	0	0.233359548028658	0.0857831540489458	0	0.133665150385112	0.0671649933302964	0.0249551867036308	0.00594083009169375	1.93128799581156e-05	0	0.0326978762860767	0	0.0859896546860453	0.0483613064724124	0.0986829448092362	0.0315227734162798	0.0109830375591913	0.0403888093253364	0	0	0.0086534264076837	0	0.562561072266133	0.832339017673682
TCGA-05-4422-01A	0.0791219478971536	0	0.362528793534688	0.190786901277265	0	0.0672525452161262	0.0133033816670367	0.0410811721511227	0.0393279272861426	0	0	0.00560270955049492	0.023045916306893	0.0302190585582377	0.039302384889648	0.0890195387265684	0.0138583483744586	0	0	0	0	0.00554937456416488	0	0.570765488662725	0.82040660117372
TCGA-05-4424-01A	0.0944220294074834	0	0.075181680223659	0.0837757351335041	0	0.18716604640841	0.0347342383055279	0.016703269841854	0.00620713072262016	0	0.0134609370846503	0	0.0203768519516116	0.108893741965718	0.0811109126197163	0.167708044317743	0.0244631488751876	0.0038912273758277	0.0736485606355523	0	0	0.00825644513093479	0.01	0.346473174397476	0.938426957538412
TCGA-05-4425-01A	0.00820084080614064	0.0203896179980379	0.0128874504368451	0.00594503261303733	0	0.186046063182969	0.00393960628456039	0	0.0585952124658723	0	0.0486523430781504	0	0	0.193606477163287	0.0632260340246021	0.220262975020155	0.129716613052036	0	0.0270747294202087	0.0180771438914079	0	0.00337986056269033	0	0.576226503138869	0.828814580242795
TCGA-05-4430-01A	0.0152458242436867	0	0.0660376451601868	0.0598281443105061	0	0.0858148397986081	0.0412934025476506	0.0292573205160143	0.0165650238318917	0	0	0.007054615895747	0.00668399633727279	0.200968989127045	0.0532812234412948	0.145648861559003	0.119201735537501	0.042090993348371	0.0975100859833547	0	0	0.0135172983618662	0.01	0.210299267781184	0.995514155658997
